Index;DOI;Titre;Auteur(s);Type d’article;Année;Type de critère (qualité, performance, culturel, etc.);Terme original (EN);Critère d’évaluation (FR);Définition du critère;Type du critère (Métrique, Capacité ou Mixte);Type de source / Méthodo;Type de contribution (modèle, framework, métrique, retour terrain);Etude terrain ? (Oui/Non);Interprétation stratégique / objectif  / valeur recommandée pour/ du critère (si disponible);Impact reconnu dans la littérature (si disponible);Localisation (section / figure);Inclus dans la synthèse ? (Par défaut, Oui);Apports et limites du critère (fréquence, applicabilité, terrain, remarques);ID de la métrique dans l’article
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Service Level Agreements (SLAs) and Objectives (SLOs);Accords et objectifs de service;Contrats clients + objectifs internes de performance;Métrique;MLR;Framework, métriques;Non;Permettent de mesurer les performances perçues par le client et l’alignement équipe.;;Table 5;Oui;Pas super clair pour moi;M11
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;performance;Deployment Size;Taille du déploiement;Nombre de changements dans chaque mise en production;Métrique;MLR;Framework, métriques;Non;Permet de suivre la granularité des livraisons et détecter les livraisons à haut risque.;;Table 5;Oui;Mesurable, mais m’a l’air peu pertinent sur l’aspect qualité;M12
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Production Error and Incident Rate;Taux d’incidents en production;Fréquence des erreurs ou incidents en production;Métrique;MLR;Framework, métriques;Non;"Un taux élevé reflète une faible stabilité ; le réduire est un objectif stratégique.";;Table 5;Oui;Mesurable si système d’alertes et de logs en place.;M13
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Customer Tickets Volume and Feedback;Volume de tickets clients;Nombre de tickets/retours clients à traiter;Métrique;MLR;Framework, métriques;Non;Un volume élevé peut indiquer des problèmes de qualité ou d’alignement fonctionnel.;;Table 5;Oui;Je ne saurais pas comment l’appliquer dans notre cas;M14
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Mean Time to Failure (MTTF);Temps moyen avant échec;Durée de fonctionnement d’un actif avant panne irrécupérable;Métrique;MLR;Framework, métriques;Non;Plus il est long, plus la solution est fiable.;;Table 5;Oui;Pas super clair pour moi;M15
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;performance;Customer Usage and Traffic;Utilisation et trafic client;Volume de trafic issu d’utilisateurs actifs;Métrique;MLR;Framework, métriques;Non;Indicateur de l’adoption et de la valeur perçue par les utilisateurs.;;Table 5;Oui;Peu pertinent sur l’aspect évaluation de DevOps pur;M16
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;technique;Pipeline Automated Tests Success Rate;Taux de succès des tests CI/CD;Taux de réussite des jobs de test automatisés;Métrique;MLR;Framework, métriques;Non;"Un taux élevé reflète une qualité continue ; objectif : stabilité avant mise en prod.";;Table 5;Oui;Mesurable facilement si pipeline mise en place (SonarCloud);M17
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;culturel;Westrum Organizational Culture Measures;Culture organisationnelle (Westrum);Typologie culturelle : pathologique, bureaucratique, générative;Métrique;MLR;Framework, métriques;Non;Les organisations génératives sont corrélées aux meilleures performances DevOps.;;Table 5;Oui;Nécessite une enquête structurée pour savoir si l’on rentre dans une organisation générative;M18
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;qualité;Automated Test Code Coverage;Couverture du code testé;Pourcentage de code couvert par les tests auto;Métrique;MLR;Framework, métriques;Non;Doit être le plus élevé possible pour garantir la qualité logicielle.;;Table 5;Oui;Bon indicateur mais peu être biaisé;M19
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;organisationnel;Work In Progress (WIP) / Load;Charge de travail en cours;Nombre de tâches en cours non finalisées;Métrique;MLR;Framework, métriques;Non;"Un WIP élevé est un frein à la productivité ; à limiter pour favoriser le flux.";;Table 5;Oui;Nécessiterait un suivi précis des tâches (Kanban..);M20
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;organisationnel;Unplanned Work Rate (UWR);Taux de travail non planifié;Temps passé sur tâches imprévues/incidents;Métrique;MLR;Framework, métriques;Non;Un taux élevé indique une mauvaise anticipation ou des dettes techniques.;;Table 5;Oui;Comment le mesurer ?;M21
A01;10.1145/3652508;DevOps Metrics and KPIs: A Multivocal Literature Review;Amaro et al.;journalArticle;2024;performance;Wait Time;Temps d’attente;Délai avant qu’un élément progresse dans le flux de valeur;Métrique;MLR;Framework, métriques;Non;Doit être réduit pour fluidifier le processus et améliorer la vélocité.;;Table 5;Oui;Pas super clair pour moi;M22
A02;10.1007/978-3-030-29608-7_7;DevSecOps Metrics;Prates et al.;conferencePaper;2019;qualité;Defect density;Nombre de défauts détectés divisé par la taille du logiciel;Nombre de défauts confirmés / taille du code;Métrique;MLR;Métriques;Non;;;Table 7;Oui;;M01
A02;10.1007/978-3-030-29608-7_7;DevSecOps Metrics;Prates et al.;conferencePaper;2019;performance;Defect burn rate;Vitesse à laquelle l’équipe corrige les défauts;Taux de correction des défauts détectés;Métrique;MLR;Métriques;Non;;;Table 7;Oui;;M02
A02;10.1007/978-3-030-29608-7_7;DevSecOps Metrics;Prates et al.;conferencePaper;2019;sécurité;Critical risk profiling;Profilage des risques critiques pour les attaquants;Lien entre criticité d’un bug et la valeur pour un attaquant;Métrique;MLR;Métriques;Non;;;Table 7;Oui;;M03
A02;10.1007/978-3-030-29608-7_7;DevSecOps Metrics;Prates et al.;conferencePaper;2019;sécurité;Top vulnerability types;Types de vulnérabilités les plus fréquents;Analyse des vulnérabilités courantes dans les systèmes;Métrique;MLR;Métriques;Non;;;Table 7;Oui;;M04
A02;10.1007/978-3-030-29608-7_7;DevSecOps Metrics;Prates et al.;conferencePaper;2019;sécurité;Number of adversaries per application;Nombre d’adversaires identifiés par application;Compteur de groupes d’attaquants simulés ou détectés;Métrique;MLR;Métriques;Non;;;Table 7;Oui;;M05
A02;10.1007/978-3-030-29608-7_7;DevSecOps Metrics;Prates et al.;conferencePaper;2019;sécurité;Adversary return rate;Fréquence de réutilisation d’une stratégie d’attaque;Taux de réapparition d’un adversaire sur la même faille;Métrique;MLR;Métriques;Non;;;Table 7;Oui;;M06
A02;10.1007/978-3-030-29608-7_7;DevSecOps Metrics;Prates et al.;conferencePaper;2019;sécurité;Point of risk per device;Nombre de vulnérabilités par serveur ou appareil;Ratio vulnérabilités non corrigées / périphérique;Métrique;MLR;Métriques;Non;;;Table 7;Oui;;M07
A02;10.1007/978-3-030-29608-7_7;DevSecOps Metrics;Prates et al.;conferencePaper;2019;performance;Number of continuous delivery cycles per month;Fréquence de déploiements continus mensuels;Déploiements CI/CD effectués avec succès par mois;Métrique;MLR;Métriques;Non;;;Table 7;Oui;;M08
A02;10.1007/978-3-030-29608-7_7;DevSecOps Metrics;Prates et al.;conferencePaper;2019;sécurité;Number of issues during red teaming drills;Failles détectées lors d’attaques Red Team;Nombre d’anomalies identifiées et corrigées en simulation d’attaque;Métrique;MLR;Métriques;Non;;;Table 7;Oui;;M09
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;outillage;Practitioners converge towards tool standards;Convergence vers des standards d’outillage;Adoption de standards dans la sélection et l’usage des outils pour réduire les défis liés à leur diversité;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Facilite la comparabilité et la gouvernance outillée;S1
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;documentation;Documentation with security support;Documentation centralisée et orientée sécurité;Disponibilité d’une documentation claire sur les configurations de sécurité via des dépôts centralisés;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère organisationnel observable, soutient la sécurité;S2
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;outillage;Adopting best practice for tool usage;Adoption de bonnes pratiques d’outillage;Utilisation d’outils configurés selon le contexte projet, sans réglages par défaut;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère observable via pipeline/outils;S3
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;outillage;Move to cloud-based solutions;Usage d’outils cloud collaboratifs;Adoption de solutions cloud facilitant la collaboration interdisciplinaire et les analyses de sécurité;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère vérifiable dans les choix techniques;S4
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;outillage;Interactive application security testing (IAST) tools;Utilisation d’outils IAST;Intégration d’outils de test d’application interactif combinant analyse statique et dynamique;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Indicateur technique exploitable;S5
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;sécurité;Tools for continuous vulnerability assessment;Évaluation continue des vulnérabilités;Mise en œuvre d’analyses statiques/dynamiques continues à chaque commit;Mixte;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Bonne pratique DevSecOps clairement documentée;S6
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;outillage;Using orchestration platforms;Orchestration sécurisée des conteneurs;Usage d’orchestrateurs pour réduire la surface d’attaque et gérer l’isolation;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Observable via architecture technique;S7
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;outillage;Using a virtualization tool to encapsulate part of the system;Encapsulation sécurisée du build;Sécurisation des serveurs de build par virtualisation du processus;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Pratique sécuritaire évaluable techniquement;S8
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;outillage;Static analysis for IaC Scripts;Analyse statique des scripts IaC;Identification automatique des failles via outils d’analyse sur scripts d’infrastructure;Mixte;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère mesurable par scan IaC;S9
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;sécurité;Reusable design fragments and security tactics;Fragments de design sécurisés;Usage de fragments de design vérifiés et tactiques de sécurité dans les pipelines;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère lié à la conception sécurisée;S10
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;sécurité;Adapting standards, policies, models, service level agreements (SLA) into testable criteria;Adaptation des standards en critères testables;Transformation de normes ou SLA sécurité en éléments vérifiables automatiquement;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère de conformité auditable;S11
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;technique;Automated vulnerability detection through requirement analysis;Analyse automatique des exigences;Traduction automatique des exigences sécurité en modèles analysables;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère applicable en amont du cycle;S12
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;sécurité;Devising security metrics or metric based approaches;Utilisation de métriques sécurité;Suivi de commits, erreurs OWASP, résultats pentest, etc.;Métrique;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Indicateurs directs d’évaluation;S13
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;documentation;Effective process documentation and logging strategies;Stratégies de journalisation/process doc;Documentation automatique et journalisation pour audit sécurité;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Pratique organisationnelle évaluable;S14
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;technique;Big data and behavioral analytics techniques;Analytics comportementales et big data;Utilisation d’analyses comportementales pour retour utilisateur et prédiction;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère de qualité continue;S15
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;sécurité;Shifting security to the left;Shift-left sécurité;Intégration précoce des activités de sécurité dans le cycle DevOps;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Bonne pratique DevSecOps reconnue;S16
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;sécurité;Implementing continuous security assessment practices;Évaluation continue de la sécurité;Surveillance continue et intégrée des vulnérabilités pendant tout le cycle;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Pratique cœur du DevSecOps;S17
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;sécurité;Security patch management using DevOps practices;Gestion rapide des correctifs sécurité;Déploiement rapide de patchs via pratiques CI/CD;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère observable et critique;S18
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;technique;Using threat analysis practices;Utilisation de modèles de menaces;Application d’approches type STRIDE pour identifier vulnérabilités CD;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Indicateur de maturité sécurité;S19
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;sécurité;Strict access management and policies;Gestion stricte des accès;Accès à la production restreints et automatisés;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Pratique organisationnelle observable;S20
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;outillage;Adopting Infrastructure as code;Infrastructure as Code sécurisée;Déploiement d’environnements versionnés et testés via IaC;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère technique mesurable;S21
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;technique;Creating simulation or replication environments for testing;Simulation pour test sécurisé;Utilisation d’environnements simulés pour tests internes;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Bonne pratique sécurité;S22
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;culturel;Facilitating inter-team communication and collaboration with the appropriate controls or standards;Communication inter-équipes structurée;Standards de collaboration, boucles de feedback, engagement sécurité;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Critère organisationnel clair;S27
A03;10.1016/j.infsof.2021.106700;Challenges and solutions when adopting DevSecOps: A systematic review;Rajapakse et al.;journalArticle;2022;culturel;Having security champions in teams;Rôle de champion sécurité;Intégration de référents sécurité dans les équipes;Capacité;SLR;Framework, lignes directrices, pratiques recommandées, cartographie défis-solutions;Non;;;Table 4;Oui;Pratique de transformation culturelle;S28
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Lilianny Marrero, Hernán Astudillo;conferencePaper;2021;qualité;Development process;Processus de développement;Définition, formalisme et/ou amélioration continue du processus de développement.;Capacité;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Lilianny Marrero, Hernán Astudillo;conferencePaper;2021;qualité;Feedback;Feedback;Fréquence, efficacité et formalisme du feedback.;Métrique;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Lilianny Marrero, Hernán Astudillo;conferencePaper;2021;qualité;Configuration management;Gestion de configuration;Déploiement et versionnage des livrables.;Capacité;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Lilianny Marrero, Hernán Astudillo;conferencePaper;2021;performance;Deployment;Déploiements;Méthodes de déploiement et d’utilisation des outils;Capacité;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Marrero & Astudillo;conferencePaper;2021;qualité;Monitoring;Fréquence du monitoring et outils utilisés pour le suivi;Fréquence de la supervision et outils utilisés pour le suivi;Métrique;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Marrero & Astudillo;conferencePaper;2021;qualité;Development environments;Environnements de développement;Outils de développement et infrastructure utilisée;Capacité;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Marrero & Astudillo;conferencePaper;2021;performance;Continuous integration;Intégration continue;Processus de test et prise en charge des outils de test;Mixte;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Marrero & Astudillo;conferencePaper;2021;performance;Continuous delivery;Livraison continue;Fréquence et planification des livraisons et/ou utilisation des outils de livraison continue;Mixte;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Marrero & Astudillo;conferencePaper;2021;culturel;Willingness of Senior management to adopt DevOps;Volonté de la direction d’adopter DevOps;Résistance ou volonté de la direction à adopter la culture DevOps;Capacité;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Marrero & Astudillo;conferencePaper;2021;culturel;DevOps Knowledge & Training;Connaissance et formation DevOps;Niveau de connaissance des membres de l’équipe concernant DevOps;Capacité;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Marrero & Astudillo;conferencePaper;2021;culturel;Team structure;Structure de l’équipe;Structure des équipes et niveau de confiance entre leurs membres;Capacité;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Marrero & Astudillo;conferencePaper;2021;culturel;Communication;Communication;"Communication et confiance entre les membres d’une équipe et/ou entre équipes ; canaux de communication";Capacité;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A04;10.1109/SCCC54552.2021.9650363;DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations;Marrero & Astudillo;conferencePaper;2021;culturel;Collaboration;Collaboration;Type de collaboration au sein de l’organisation et fréquence à laquelle elle se manifeste;Mixte;modèle readiness (validé);modèle, framework, grille d’évaluation, KPIs;Oui;;;Table I;Oui;;
A05;10.1109/ComPE49325.2020.9200149;Measurement Based Performance Evaluation of DevOps;Batra & Jatain;conferencePaper;2020;performance;Sprint meeting;Réunions de sprint;Nombre et durée des réunions de sprint planifiées pour gérer le projet;Métrique;étude expérimentale;métriques, comparaison DevOps vs Waterfall;Oui;;;Section IV, Fig. 6;Oui;Donnée issue de l’expérimentation étudiante;M1
A05;10.1109/ComPE49325.2020.9200149;Measurement Based Performance Evaluation of DevOps;Batra & Jatain;conferencePaper;2020;performance;Throughput;Productivité / Débit;Nombre d’unités de travail réalisées par semaine;Métrique;étude expérimentale;métriques, comparaison DevOps vs Waterfall;Oui;;;Section IV, Fig. 8;Oui;Donnée mesurée empiriquement;M2
A05;10.1109/ComPE49325.2020.9200149;Measurement Based Performance Evaluation of DevOps;Batra & Jatain;conferencePaper;2020;qualité;User Story Coverage;Couverture des user stories;Proportion de besoins couverts (ou livrés) par le développement;Métrique;étude expérimentale;métriques, comparaison DevOps vs Waterfall;Oui;;;Section IV, Fig. 9;Oui;Sert à mesurer la satisfaction du client / utilisateur final;M3
A06;10.1007/978-3-030-78098-2_7;Measuring Software Delivery Performance Using the Four Key Metrics of DevOps;Sallin et al.;conferencePaper;2021;performance;Deployment Frequency (DF);Fréquence de déploiement;Le nombre de déploiements effectués en production sur une période donnée. Sert de proxy à la réduction de la taille des lots.;Métrique;MLR, étude de cas;métriques, prototype de mesure automatisée, étude de cas;Oui;;;Section 2 et 4;Oui;Détection automatique via logs OpenShift (Swiss Post);M1
A06;10.1007/978-3-030-78098-2_7;Measuring Software Delivery Performance Using the Four Key Metrics of DevOps;Sallin et al.;conferencePaper;2021;performance;Lead Time for Change (LT);Délai de mise en production;Temps écoulé entre un commit de code et son exécution effective en production. Plus c’est court, mieux c’est.;Métrique;MLR, étude de cas;métriques, prototype de mesure automatisée, étude de cas;Oui;;;Section 2 et 4;Oui;Calcule à partir du hash de commit et logs déploiement;M2
